Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Редис;8653568;БАГГИ;2015;*;гибрид первого поколения;-;-;ранний (раннеспелый);-;садово-огородный;округлая;
Томат;8058677;БАГГИ;2021;*;гибрид первого поколения;салатный;-;ранний (раннеспелый);детерминантное;садово-огородный;цилиндрическая;
Овес яровой;8262001;БАГЕТ;2020;5, 7;-;-;-;средний (среднеспелый);голозерный;-;-;11016
Баклажан;9811477;БАГИРА;2003;;гибрид первого поколения;-;-;-;-;защищенный грунт;-;
Белладонна;9051941;БАГИРА;2011;*;-;-;-;-;-;-;-;
Дыня;8154396;БАГИРА;2020;*;гибрид первого поколения;-;-;ранний (раннеспелый);среднеплетистое;садово-огородный;-;
Капуста белокочанная;7953753;БАГИРА;2023;3, 4;гибрид первого поколения;-;-;среднепоздний;-;товарное производство;-;
Картофель;7853055;БАГИРА;2024;9;-;столовый;-;среднеранний;устойчив к раку, патотип I и к золотистой картофельной нематоде (R01);-;-;13423
Люцерна изменчивая;9103104;БАГИРА;1994;6;-;-;-;-;-;-;-;
Перец сладкий;9252224;БАГИРА;2008;*;-;-;-;средний (среднеспелый);-;садово-огородный;кубовидная;4590
Пшеница мягкая озимая;8952944;БАГИРА;2013;6;-;ценная(ый) по качеству;-;среднеранний;-;-;-;6771
Смородина черная;8607087;БАГИРА;1994;2, 4, 7, 9, 10, 11;-;-;-;поздний ( позднеспелый);-;-;-;
Томат;9463029;БАГИРА;2007;6;гибрид первого поколения;салатный;-;средний (среднеспелый);детерминантное;товарное производство;плоскоокруглая;
Томат;8457537;БАГЛИОР;2018;5, 8;гибрид первого поколения;консервный;-;среднеранний;детерминантное;товарное производство;округлая;
Пшеница мягкая озимая;8854612;БАГРАТ;2015;6;-;сильная пшеница;-;среднеранний;-;-;-;7662
Лилия;8153215;БАГРАТИОН;2019;*;-;-;-;-;-;-;-;10917
Огурец;8654676;БАГРАТИОН;2015;*;гибрид первого поколения;салатный;-;поздний ( позднеспелый);пчелоопыляемое;сад.-огород. для з/грунта;-;
Перец сладкий;9705725;БАГРАТИОН;2003;;-;-;-;ранний (раннеспелый);-;сад.-огород. для з/грунта;плоскоокруглая;
Ячмень яровой;9358959;БАГРЕЦ;2010;4;-;-;-;средний (среднеспелый);-;-;-;
Свекла сахарная;8153513;БАГРИМ;2020;4;гибрид первого поколения;-;-;-;сахаристый-позднеспелый;-;-;
Свекла столовая;9051932;БАГРОВЫЙ ШАР;2011;3, 4, 11, 12;-;-;-;-;-;товарное производство;округлая;6505
Вишня обыкновенная;6401520;БАГРЯНАЯ;1965;3;-;-;-;среднеранний;-;-;-;
Редис;8456840;БАГРЯНЕЦ;2017;*;-;-;-;ранний (раннеспелый);-;садово-огородный;округлая;
